발화문,상황
그래. 참아야겠다.,angry
그렇진 않지.,neutral
흠. 스트레스 풀만한 데 없나?,angry
엘리베이터가 갑자기 멈췄어.,fear
혼자 밖에 없어서 너무 무서워!,fear
너무 역겨워서 손대기도 싫어.,disgust
음식물쓰레기가 썩고 있었어.,disgust
맞아. 일단 구조 벨을 누를게.,fear
아. 쓰레기통에서 역겨운 냄새가 나고있어.,disgust
고마워. 지금 너무 힘들다.,disgust
집에 있는건 효과가 없어. 하나 추천해줄 수 있어?,angry
어. 너무 스트레스받아. 곰팡이를 어떻게 없애야할까?,angry
응. 놀라긴 했는데 몸은 괜찮아.,fear
니가 말해주는 걸로 구매할게.,angry
경찰들이 일을 열심히하면 짭새소리도 안듣겠지.,neutral
나 오늘 짭새가 몰려있어서 구경다녀왔어.,neutral
누가 술취해서 주정부리는 것 같던데.,neutral
좀 무섭긴 했어. 그 사람 유리병 들고있었거든.,neutral
짭새가 주정뱅이를 제압하는 것 같더라고.,neutral
말이라도 그렇게 해줘서 고마워.,disgust
나는 이제 살만해.,neutral
증거가 이미 휴지통으로 가버렸는걸.,disgust
그러고 싶은데 너무 짜증나서 그냥 버렸어.,disgust
아 짜증나! 그 새끼는 할 일없으면 집에나 갈 것이지 왜 나한테만 그럴까?,angry
상사 앞에서 그 새끼라고 못하니까 너한테 하는거야.,angry
난 기분이 더 좋은 것 같은데?,angry
맞아. 능력도 없는데 나대기만 엄청 나대.,angry
술병을 들고있긴 했는데 금방 잡혔어.,neutral
짭새나 경찰이나 그게 그거 아니야?,neutral
언제 한번 사장님한테 말씀드릴거야.,angry
그건 그래. 욕한다고 내 기분이 나아지는 건 아니지.,neutral
미안. 진짜 궁금해서 그랬어.,neutral
그렇지. 좀 바빠보이긴 했어.,neutral
아 짜증나. 그새끼는 할 일없으면 집에나 갈 것이지 왜 나한테만 그래?,angry
그런가? 난 기분이 좀 풀리는 것 같은데.,angry
사람이 아무도 안 다쳐서 뉴스에 나오진 않을 것 같아.,neutral
나 오늘 짭새가 몰려있길래 궁금해서 구경다녀왔어.,neutral
그새끼가 나한테 하는 짓 보면 욕이 나올 수 밖에 없어.,angry
아 진짜 너무 화나.,disgust
소리 엄청 지르고 시끄럽긴 했어.,neutral
나 오늘 짭새들 구경했다.,neutral
나 오늘 짭새 구경했다.,neutral
알았어 안 할게.,neutral
나 환기 엄청 자주해.,angry
안 한다니까!,neutral
그렇게 얘기 안 하겠다고.,neutral
오늘 짭새가 몰려있길래 구경하고 왔어.,neutral
더러워서 만지기도 싫어.,disgust
사진 찍어가지고 주인한테 얘기하면은 환불 해주겠지?,disgust
나야 잘 풀리고 있지.,neutral
맨날 청소하는데 맨날 곰팡이가 있어.,angry
그걸로 될까?,disgust
근데 짭새들이 엄청 몰려있었다니까?,neutral
화장실은 청소를 해도 곰팡이가 사라지질 않아.,angry
얼른 치워야겠다.,disgust
쓰레기통에서 역겨운 냄새나.,disgust
터지기 직전이야.,angry
벌레는 정말 싫어.,disgust
말을 진짜 싸가지없게 해.,angry
이미 충분히 기분 나쁜걸?,angry
나도 몰라. 이사갈거야.,disgust
그치. 아무래도. ,neutral
추천해줄 수 있어?,angry
집에서 벌레가 나왔어.,disgust
집에서 바퀴벌레가 나왔어.,disgust
짭새들이 알아서 해결하겠지.,neutral
나 엘리베이터에 갇혔어.,fear
갑자기 엘리베이터가 멈췄어. 불도 꺼졌어.,fear
나 지금 너무 무서워.,fear
지금 너무 무섭다니까!,fear
몸은 괜찮아. 근데 어두워서 아무것도 안 보여.,fear
진짜 너무 화나.,disgust
그 새끼는 왜 나한테만 지랄일까?,angry
안그래도 오늘 사러 가려고.,angry
그런 말 들으니까 욕을 안해야겠다는 생각이 드는데?,angry
그 새끼는 욕먹어도 싸!,angry
그냥 그렇지 뭐. 다 힘들지 않아? 요즘은?,neutral
알겠어. 안 쓸게.,neutral
짭새가 경찰이지.,neutral
아. 알겠어. 알려줘서 고마워. 전화해야겠다.,disgust
나 오늘 짭새 구경하다왔어.,neutral
"아니,아직 안찍었어. 사진 바로 찍어야겠다.",disgust
그새낀 왜 나한테만 지랄이지?,angry
아! 짜장면에서 벌레가 나왔어.,disgust
맞아! 정확해! 그래서 너무 힘들어!,angry
그러니까말이야. 짭새들도 힘들겠어.,neutral
다음부터 냄새가 나는지 확인해 봐야겠다.,disgust
응! 몸은 괜찮아. 걱정해주는거야?,fear
응! 혼자있어. 지금 비상벨 눌렀는데 아무런 응답이 없어.,fear
빨리 미세먼지가 끝났으면 좋겠어.,angry
나 오늘 짭새구경하러 갔다왔어.,neutral
그렇게 말해줘서 고마워.,angry
짭새가 몰려있길래 구경하다왔어.,neutral
나 엘리베이터에 갇혔어!,fear
큰 일은 아닌 것 처럼 보였어.,neutral
응! 날은 좋았어.,neutral
아무리 청소를 해도 곰팡이가 안 없어져.,angry
지금 보니까 음식물 쓰레기가 쓰레기통에 있네?,disgust
방향제로 처리해볼게.,disgust
하유. 그래야지. 쓰레기통 정리하면서 내가 왜 그랬나 몰라.,disgust
맞아. 별 일도 아닌데 짭새들을 부르는 경우가 많잖아.,neutral
그러게 말이야. 큰 일이면 아마 뉴스에 나오지 않을까?,neutral
그렇진 않은 거 같애. 사람들이 다들 그냥 구경만 하고 있고. 별 일은 아닌 거 같애.,neutral
무슨 사건이 벌어졌나 봐. 거기에 다들 몰려 있더라고. 사람들도.,neutral
나 오늘 짭새가 몰려 있길래 궁금해서 구경 다녀왔어.,neutral
맞아. 별 일도 아닌데 짭새 부른 거 같더라고.,neutral
짭새들이 거기서 뭐하고 있나 궁금했어.,neutral
나 오늘 짭새가 몰려 있길래 궁금해서 구경 다녀왔어.,neutral
경찰이 싫다고 욕하는 건 아냐.,neutral
"아, 미안. 짭새라고 안 하고 경찰이라고 하면 돼?",neutral
"짭새들이 말야, 사건 해결하느라고 거기 몰려 있더라고. 재밌었어.",neutral
아 오늘 짭새가 몰려 있길래 구경 다녀왔어.,neutral
아니 다른 사람들한텐 다 착한데 나한테만 유독 그런다니까? 이해가 안 돼.,angry
"아니, 그 새끼가 항상 나한테만 그런다니까? 다른 사람들한테는 착한데?",angry
"아, 짜증 나. 그 새끼는 할 일 없으면 집에나 갈 것이지, 왜 항상 나한테만 그럴까?",angry
고마워. 일단 환기부터 해 보고 말 해줄게.,disgust
허 쓰레기통에서 역겨운 냄새가 나.,disgust
좋은 곰팡이 제거제 있으면은 추천해 줘.,angry
곰팡이 제거제를 써도 똑같애. 아무리 청소를 해도 없어지질 않아.,angry
아니야. 내 생각에는 창문이 작아서야. 미세먼지 뭐 까짓 거 그냥 마시면 되지. 창문을 열어놓고 있는데 창문이 작아서 그런 거 같애.,angry
"나도 알지. 그래서 창문 계속 열어놓는데, 창문이 작아서인지 계속 생기네.",angry
하. 화장실은 청소를 해도 곰팡이가 없어지지를 않아.,angry
그러니까 말이야. 유독 나한테만 그래가지구 문제야.,angry
알겠어. 그 상사가 말이야. 왜 항상 나한테만 그럴까? 이해가 안 되네.,angry
나 엘리베이터에 갇혔어.,fear
거기 새로 생긴덴데 아 너무 별로야. 너는 시켜먹지 마.,disgust
그러니까 퇴근하고 또 혼자 엘리베이터를 탔는데 갑자기 정전이 나 가지고 엘리베이터 멈춰 버렸어 긴급전화는 아무도 안 받아 어떻게 해?	,fear
어휴 그냥 갖다 버렸지. 사진은 못 찍었고 전화해서 그냥 따졌어.,disgust
응. 다행히 다치지는 않았어. 괜찮아.,fear
무서워. 잘 보이지도 않고 지금 높은 데에 멈춰있어서 무서워.,fear
그러니까. 경찰분들도 진짜 고생하시는 것 같아.,neutral
그러니까. 혹시 뉴스에 나올까? 나 진짜 궁금했어.,neutral
그런 것 같기도 하더라. 구급차가 올 정도라면.,neutral
지금 나 혼자있어. 이거 어떡하면 좋아?,fear
나 오늘 짭새가 몰려있길래 궁금해서 구경해봤어.,neutral
나 엘리베이터에 갇혔어.,fear
그러니까. 요즘 다 힘들지. 경찰도 일하기 힘들고 나도 일하는거 힘들고.,neutral
나중에 쓰고 청소부터 하면은 냄새 없어질 것 같기도 해.,disgust
구급차가 왔길래 누가 다친 것 같더라고.,neutral
그러니까. 먹을라고 하다가 기분 확 상했다니까.,disgust
그러니까. 이거 진짜 찍어가지고 신고해야될 것 같아.,disgust
뭐만 하면 나한테 뭐라하고 가만히 있어도 괜히 나한테 화내고 그러더라.,angry
그렇지. 다시는 그래도 여기서 시켜먹진 않을 것 같아.,disgust
아니 그래도 너무 나한테만 그러니까 기분이 진짜 불쾌해.,angry
아 짜증나. 그새끼는 할일 없으면 집에나 갈 것이지 왜 나한테만 그럴까?,angry
좋은 생각이다. 나쁘지 않을 것 같아. 고마워.,angry
어 나 한번 써볼래.,angry
오! 그거 정말 좋은 생각인데?,angry
맞아. 계속해서 청소를 해도 계속해서 곰팡이가 생기니까 너무 힘든 것 같아.,angry
아무리 미세먼지가 많아도 환기는 하긴 해야겠더라.,angry
응. 한 번 써 볼래. 뭐가 좋은지 추천 좀 해줄래?,angry
요즘 미세먼지때문에 환기도 잘 못하고 그래서 곰팡이가 계속해서 생기는 것 같기도 해.,angry
화장실은 청소를 해도 곰팡이가 없어지질 않아.,angry
내가 전에 버렸던 음식들이 썩어가지고 이상한 냄새가 나네.,disgust
응. 요즘 미세먼지때문에 환기를 잘 못하는 것 같기도 해.,angry
나 오늘 짭새가 몰려 있길래 구경하다가 왔어.	,neutral
고마워. 나 대신 방향제 찾아주기도 하고. 진짜 도움 많이된다.,disgust
나 오늘 짭새가 몰려있길래 구경하다가 왔어.,neutral
응. 오늘 날씨는 괜찮더라.,neutral
뭐가 궁금해보여?,neutral
아니 그건 아니지 내가 겪어도 기분이 나쁠 만 해.	,neutral
아니 기분이 나아지지는 않아.	,neutral
그렇지. 요즘은 그렇게 경찰을 많이 부르기도 하는 식이지.,neutral
그래도 짭새가 싫은 걸 어떡해.	,neutral
쓰레기가 냄새가 나는 거 같아.,disgust
청소를 해도 곰팡이가 없어지지가 않아.,angry
구매할 생각이 있어.,angry
쓰레기통에서 역겨운 냄새가 나고 있어.,disgust
곰팡이 제거제 사러 가야겠다.,angry
그래도 환기를 해야하지 않을까?,angry
좋은 방법인 거 같은데?,angry
방향제로 처리하는 게 좋겠다.,disgust
응. 당장 버려야겠어.,disgust
아니 사진 찍어놔야겠다.,disgust
그러면 다시 보내줄까?,disgust
엘레베이터에 갇혔어.,fear
나 혼자 있는데 갑자기 정전이 됐어.,fear
응. 혼자인데 어떻게 해야하지?,fear
몸은 괜찮은데 어떻게 해야 할지 모르겠어.,fear
지금 전화해야겠다.,fear
그래도 당장 시작해야겠어.,disgust
응. 기분이 안 좋았어. 어떻게 해야 하지?,disgust
아니 그 것도 아닌 것 같아.,neutral
와. 짜장면에서 벌레 나왔다.,disgust
나도 힘들어.,neutral
경찰이 고생이 많을 것 같아.,neutral
좋지 않았어.,neutral
밖에 짭새가 몰려 있길래 구경하고 왔어.,neutral
아니 그건 아닌 것 같아.,neutral
그러면 그렇게 부르면 안 되겠네?,neutral
짭새라고 많이 부르잖아.,neutral
아 짜증 나. 그 새끼는 할 일 없으면 집에나 갈 것이지. 왜 나한테 그러는 걸까?,angry
욕 먹을 만한 짓을 해.,angry
나 오늘 짭새가 몰려 있길래 궁금해서 보고 왔어.,neutral
얘기를 해봐야겠다.,angry
맘에 안 드는데 어떻게 하지?,angry
그러면 욕은 하지 말아야겠다.,angry
좋은 곰팡이 제거제 있으면 추천해 줘.,angry
화장실은 청소를 해도 곰팡이가 사라지질 않아.,angry
쓰레기통에서 역겨운 냄새가 나고 있어.,disgust
혼자 갇혔어. 나 너무 무서워.,fear
오. 고마워. ,angry
오. 좋은 생각인 것 같아.,angry
그래. 구매할래.,angry
그래. 환기를 한번 해봐야겠어.,angry
화장실은 청소를 해도 곰팡이가 없어지지를 않아. 짜증 나.,angry
"아, 짜장면에서 벌레 나왔다.",disgust
응. 배고파서 먹으려고 했는데 입맛이 뚝 떨어졌어.,disgust
찍긴 찍었는데 보기만 해도 짜증나.,disgust
그래야겠다. ,disgust
그러니까. 사진 찍어두길 잘 한 거 같아.,disgust
엘리베이터 전기가 나갔다니까?,fear
오. 좋은 생각인 것 같아.,angry
나 엘리베이터에 갇혔어.,fear
응. 나 혼자 있는데 너무 무서워.,fear
너무 무섭다니까?,fear
응. 다행히 다친 데는 없어.,fear
화장실은 청소를 해도 곰팡이가 없어지질 않아! 짜증나!,angry
그래야겠다. 환기가 필요한 것 같아.,angry
미세먼지가 너무 심해서 환기도 함부로 못 하겠다니까?,angry
응. 고마워.,angry
응. 오늘 날씨는 완전 좋았어.,neutral
그렇다니까? 나 진짜 더 이상은 못 참겠어.,angry
너 지금 내 앞에서 그 새끼 편 드는 거야?,angry
아. 짜증 나! 그 새끼는 항상 나한테만 시비 걸어.,angry
나 오늘 짭새들이 몰려 있어서 구경 다녀왔어.,neutral
그지? 버리는 게 낫겠지?,disgust
나 오늘 짭새들이 몰려 있길래 신기해서 구경 다녀왔어.,neutral
고마워. 힘 내볼게.,disgust
몰라. 아무래도 쓰레기들이 오래 돼서 상한 거 같아.,disgust
오. 좋은 생각인 것 같아. ,disgust
그러니까. 이 스트레스를 어디다 풀어야 될지 고민이야.,angry
요즘도 똑같지. 일하는 건 항상 힘들어.,neutral
아마도 조폭들을 잡고 있었던 것 같아.,neutral
나도 알아! 니가 뭔데 참견이야!,neutral
알았으니까 니 일이나 잘 해.,neutral
그래야겠다. 대답해줘서 고마워.,angry
그러니까. 이따시만한 문신을 한 남자가 고래고래 소리를 지르고 있었다니까?,neutral
짭새들이 막 문신이 엄청 큰 남자를 제압하고 있었어. 그게 궁금했어.,neutral
어우. 쓰레기통에서 역겨운 냄새가 나고 있어.,disgust
시비 걸지 마!,neutral
그러니까. 일이 빨리 해결되었으면 좋겠어.,neutral
그러게 말이다. 이걸 어떻게 치우면 되니.,disgust
문을 자주 열고 환기 하는데도 그러네.,angry
곰팡이 제거제? 한두번이지. 그래도 한번 다시 해볼게.,angry
화장실은 청소를 해도 곰팡이가 없어지지를 않아.,angry
뭐 때문인지 모르겠어. 어떻게해야 되는건지.,angry
아 그치 뭐. 근데 뭐 짭새라고 할 수도 있지 뭘 그러냐.,neutral
나 오늘 짭새가 몰려있길래 궁금해서 구경다녀왔어.,neutral
야 뭐 말을 그렇게하냐. 그냥 궁금해할 수도 있지.,neutral
나도 알아. 뭐 우리끼리잖아. 짭새가 짭새지 뭐.,neutral
나 오늘 짭새가 몰려있길래 궁금해서 구경다녀왔어.,neutral
그냥 그렇지 뭐. 물어봐줘서 고마워.,neutral
그러게. 뭐 별일 아닌 것 같아보이긴 했는데.,neutral
나도 잘 모르겠어. 그냥. 궁금하니까.,neutral
"응, 알겠어. 한번 알아봐야겠다.",angry
쓰레기에 방향제를 하라고?,disgust
아니. 욕을 한 건 아니고 그냥 그렇게 부르는거지.,neutral
"와, 짜장면에서 벌레나왔어.",disgust
그렇지. 그러니까 이렇게 욕을 안 하는 사람이 욕 하는 것 아니겠어?,angry
"응, 니 말이 맞아. 나 원래 욕 잘 안 하는데 너무 좀 짜증이 나서 욕을 했네.",angry
아 짜증나! 그 새끼는 진짜 할 일 없으면 집에나 갈 것이지 왜 나한테만 자꾸 그러지?,angry
"어, 그 생각을 못했어. 그냥 기분 나빠만 하고 있었는데. 사진 꼭 찍어야겠다.",disgust
아 사진찍어가지고 따져야되는거야? 그러면 되겠네.,disgust
완전 짜증났지.,disgust
어 지금 나 혼자 있어.,fear
교통사고가 좀 크게 난 것 같더라고.,neutral
그렇겠지? 참 안타까운 일이어가지고 말이야.,neutral
음식물 쓰레기 때문인 것 같아.,disgust
쓰레기통에서 역겨운 냄새가 나고있어.,disgust
나 오늘 짭새가 몰려있길래 궁금해서 구경하고 왔어.,neutral
어 놀라긴 좀 놀랐는데 지금 뭐 몸은 아무렇지는 않긴 해. 근데 계속 걱정되네.,fear
어 나도 뭐때문에 사고난 지는 모르겠고 많이 다쳤나봐. 그래서 걱정되긴 하더라.,neutral
내려가는 걸 눌렀는데 갑자기 탁 멈추면서 불이 지금 다 꺼지고. 야 완전 무서워. 이거 뭐야?,fear
나 엘리베이터에 갇혔어.,fear
그치. 뭐 경찰차 한 다섯대 있었으니까 큰 사고인 것 같아.,neutral
"응, 오늘 날씨는 좋은데 많이 추워.	",neutral
나 오늘 짭새가 몰려있길래 궁금해서 구경 다녀왔어.,neutral
응. 지금 나 혼자야. 빨리 전화가 되야되는데 핸드폰 배터리가 없어.,fear
요즘 그냥 평소랑 똑같이 하고 있지 뭐.	,neutral
아니 이제 집 갈려고 엘리베이터 탔는데 갑자기 갇혔어.,fear
아 무서워. 빨리 어떻게든 됐으면 좋겠어.,fear
그러게. 그렇게 큰 일이 아니면 좋겠는데.,neutral
모르겠어. 그냥 뭐 불난 건 아닌 것 같아.,neutral
나 오늘 짭새가 몰려있길래 궁금해서 구경다녀왔어.,neutral
아 몰라. 나 어떻게 나가지?,fear
아 그러면 안 되는데.	,neutral
그냥 경찰들 많이 모여있길래 무슨 일 있나 싶어 가지고.	,neutral
나 엘리베이터에 갇혔어.,fear
저번에 음식물 쓰레기 모르고 버린 것 때문에 그런 거 같아.	,disgust
저번에 사과 먹고 사과 껍데기 쓰레기통에 버렸더니 그거 썩는 냄새 같아.	,disgust
아니 됐어 다시 전화하기도 싫다.	,disgust
사진 안 찍었는데 어떡하지 환불 안해주려나.	,disgust
거기 다시는 안 시킬 거야.	,disgust
짜장면에서 벌레 나왔다.	,disgust
아니 그건 그런데 나는 얘 떄문에 이미 기분이 나빠.,angry
아 짜증나. 그새끼는 할 거 없으면 집에나 갈 것이지 왜 나한테 그래.,angry
곰팡이 제거제 중에서 효과 뭐가 좋은지 알아?,angry
아 그건 이미 쓰고 있지. 그래도 효과가 없잖아.,angry
아 나 어제는 또 미세먼지 너무 심해 가지고.	,angry
맞아 그냥 쓰레기통 버리고 종량제 봉투 새로 사려고.	,disgust
환기 엄청 많이 시키지 근데 창문이 너무 작아 가지고 소용이 없는 거 같아.	,angry
일단 환기 좀 시키고 나서.	,disgust
아 쓰레기통에서 역겨운 냄새 나고있어.,disgust
맞아. 잘 가르쳐주지도 않고 나를 혼내기만 하고 일만 시켜.,angry
언제 한번 상사한테 말해 볼까 고민이야.	,angry
아니 무슨 일이 생겼나 궁금해서 그냥 가본거야.,neutral
아니 싫은 게 아니라 그냥 말이 잘못나왔어.,neutral
맞아 알고 있지 그런 말이 잘 안 쓸게.	,neutral
어떻게 된게 화장실은 청소를 해도 곰팡이가 없어지질않아.	,angry
아 맞아 미안해 말이 잘못 나왔어.	,neutral
나 오늘 짭새가 몰려 있길래 궁금해서 구경 다녀 왔어.	,neutral
힘들지만 잘 참고 있어.,neutral
날은 아주 좋았어.,neutral
그건 잘 모르겠다.,neutral
글쎄. 정확하게는 보지 못했어.,neutral
큰일은 아닌 것 같아.,neutral
청소년들이 길가에서 담배를 피고 있더라고.,neutral
쓰레기통에서 역겨운 냄새가 나고 있어.,disgust
지난번에 버린 음식물 쓰레기가 썩어가고 있더라고.,disgust
그치만 짜증 나는 거 어떡해.,angry
걱정해줘서 고마워.,disgust
그래도 속은 시원한걸?,angry
그게 좋을 것 같아.,disgust
화장실은 청소를 해도 곰팡이가 사라지지를 않아.,angry
맞아. 맞아. ,angry
어떻게 풀어야 할까?,angry
나 오늘 짭새가 몰려 있길래 구경 갔다 왔어.,neutral
아니? 안 나아져.,neutral
응. 지금 당장 버릴려고.,disgust
생각해보니 내가 잘못한거 같아.,neutral
짭새가 몰려 있길래 구경하다 왔어.,neutral
전화는 안 할래.,disgust
나 오늘 짭새가 몰려있길래 궁금해서 구경하다 왔어.,neutral
그것도 좋은 방법 같아.,angry
창문이 작아서 환기를 해도 계속 생기더라고.,angry
워낙 싱숭생숭하니까 그럴 것 같아.,neutral
나 엘레베이터에 갇혔어.,fear
그러게. 나도 정말 궁금하다.,neutral
사람들이 몰려있길래 그게 궁금해서 가봤어.,neutral
응. 날은 완전 화창했어.,neutral
우와. 짜장면에서 벌레나왔어.,disgust
코로나때문에 나도 힘들지.,neutral
그니까. 완전 별로였어.,disgust
엘레베이터 문이 안열려.,fear
응. 혼자 있어.,fear
완전 무서워.,fear
나 오늘 짭새들이 몰려 있어서 구경 갔다 왔어.,neutral
구매하고 싶어.,angry
문이 안 열려.,fear
응. 혼자 있는 게 너무 무서워.,fear
그래. 고마워.,disgust
너무 무서워.,fear
방향제가 없는데 어떡하지?,disgust
"긴장 됐어, 지금.",fear
응. 너무 오래되었어.,disgust
쓰레기통에서 역겨운 냄새가 나고 있어.,disgust
화장실은 청소를 해도 곰팡이가 없어지질 않아.,angry
아. 짜증 나! 그 새끼는 할 일 없으면 집에나 갈 것이지. 왜 나한테 그래?,angry
그러게. 수고가 많아.,neutral
뉴스에 나올 거 같애.,neutral
응. 짭새들이 몰려 있더라.,neutral
너 말이 맞아.,angry
나 오늘 짭새가 몰려 있길래 궁금해서 갔다 왔어.,neutral
일하는 건 언제나 힘들지.,neutral
응. 너무 별로였어.,disgust
아니. 더 나빠.,neutral
알려줘서 고마워.,neutral
그럴 거 같아.,angry
응. 맞아.,angry
응. 좋았어.,neutral
맞아. 그냥 내가 싫은가 봐.,angry
경찰이나 짭새나. 똑같은 거지.,neutral
"그건 나도 알지. 회사 너무 다니기 짜증 나! 너무 다니기 싫어, 진짜.",angry
응. 다행히 다친 곳은 없어.,fear
나 오늘 짭새가 몰려 있길래 신기해서 구경 다녀왔어.,neutral
그냥 회사를 그만 둬야 될까?,angry
혼자라서 너무 무서워 지금.,fear
당연하지 사진 다 찍어 놨어.	,disgust
나 혼자야 너무 무서워.	,fear
모르겠어 나도 이런 적 처음이라서 정전 됐나 봐.	,fear
나 엘리베이터에 갇혔어.	,fear
싫어하는 건 아니고. 몰려 있어서 신기해서 구경 다녀온 거야.,neutral
나 거기까지는 생각 못 했네.,neutral
나 오늘 짭새가 몰려 있길래 궁금해서 구경 다녀왔어.,neutral
"내가 잘못한 것도 없는데, 어? 유독 나한테만 그러는 거 같애.",angry
좋았어. 나 오늘 짭새 몰려 있어서 거기 다녀왔다니까?,neutral
큰일이라도 있는지 막 거기에 몰려 있더라고.,neutral
맞아. 그런 경우도 있지.,neutral
나 오늘 짭새가 몰려 있길래 궁금해서 구경 다녀왔어.,neutral
폭행 사건 있었나 봐.,neutral
"그건 잘 모르겠는데, 여튼 짭새가 엄청 많았어.",neutral
뉴스에 나올지도 몰라. 그정도로 많이 몰려 있었거든.,neutral
그래. 듣고 보니 그러네.,neutral
"아. 짜증 나! 그 새끼는 할 일 없으면 집에나 갈 것이지. 왜 나, 항상 나한테만 그래?",angry
더 이상한 냄새가 날 거 같아.,disgust
보상을 해준다고 해도 기분이 좋아질 것 같진 않아.,disgust
나 곰팡이 제거제 안 써 봤어. 그거 괜찮아?,angry
아닌데? 나 환기 충분히 시켰는데?,angry
화장실은 청소를 해도 곰팡이가 없어지지를 않아.,angry
와. 짜장면에서 벌레나왔어.,disgust
완전 별로였어.,disgust
그래. 고마워.,angry
진작 진작 버릴걸.,disgust
그 전에 쓰레기통에 음식물 쓰레기를 버렸는데 그게 상한 거 같애.,disgust
쓰레기통에서 역겨운 냄새가 나고 있어.,disgust
기분 완전 별로야 다시는 짜장면 먹고 싶지 않아.	,disgust
다음부턴 음식물 쓰레기는 그 때 그 때 버려야겠어.,disgust
짭새들도 참 힘들겠어.,neutral
"지만, 그 분은 욕을 좀 먹어야 돼.",angry
큰일이 아니었음 좋겠어.,neutral
응. 몸은 괜찮아.,fear
너무 무서워. 어떻게 해야될지 모르겠어.,fear
정전이 돼서 엘레베이터가 멈춘 것 같애.,fear
나 엘레베이터에 갇혔어.,fear
그러는 게 좋을 거 같애.,disgust
응. 사진 찍었어. 이거 어떻게 하면 좋지?,disgust
배고팠는데 너무 기분이 안 좋아.,disgust
짜장면에서 벌레가 나왔어!,disgust
그건 잘 모르겠어.,neutral
오늘 경찰이 몰려 있는데 구경 갔다 왔어.,neutral
혼자 있어. ,fear
일은 할 만 해.,neutral
맞아. 사소한 건데 경찰을 많이 부르더라고.,neutral
딱히 궁금한 건 없었어.,neutral
짭새가 몰려 있었어.,neutral
나랑 상관 없는 일이잖아.,neutral
내가 보기엔 비슷한 거 같애.,neutral
짭새가 몰려 있었어.,neutral
그러게 말이야.,angry
맞아. 성격이 별로 안 좋아.,angry
나만 갈궈. 난 한 것도 없는데.,angry
그 건 아니야.,neutral
알았어. 고마워.,angry
도와줘서 고마워.,disgust
좋은 생각이야.,disgust
맞아. 버리는 게 좋겠어.,disgust
음식물 쓰레기를 버린 거 같애.,disgust
쓰레기통에서 냄새가 나.,disgust
좋은 생각인 거 같애.,angry
문을 열면 곰팡이가 좀 없어질까?,angry
청소를 해도 곰팡이가 없어지지가 않아.,angry
아. 짜증 나. 그 새끼는 왜 맨날 나한테만 그래.,angry
그게 좋을 것 같아. 방향제도 바로 사와야겠어.,disgust
지금 무슨 말하는거야?,neutral
응. 오늘은 날씨는 좋더라.,neutral
그렇게 심각한 상황은 아닌 것 같긴 했어.,neutral
혼자 있어 나 너무 무서워.	,fear
정전때문에 엘리베이터가 멈춘 것 같아. 나 어떡하지?,fear
나 엘리베이터에 갇혔어!,fear
응 몸은 괜찮아 근데 지금 너무 무서워.	,fear
나 오늘 짭새가 몰려있길래 구경하다가 왔어.,neutral
생각이 짧았어. 미안해.,neutral
그건 아니야. 미안해.,neutral
알겠어. 이제 그 표현 쓰지 않을게.,neutral
다른 사람들한테는 다 잘해주는데 나한테만 뭐라 하니까 그러는 거 아니야.,angry
그니까. 그새끼때문에 때려치울려고 그냥.,angry
나 오늘 짭새가 몰려있어가지고 구경하다 왔어.,neutral
창문도 너무 작고 문을 열면 미세먼지가 들어와.,angry
경찰만 힘들겠니? 나도 힘들다 힘들어.,neutral
나 오늘 짭새가 몰려 있길래 구경하다가 왔어.	,neutral
은행에 강도가 들었었나봐.	,neutral
응 엄청 큰 애 같더라고.	,neutral
맞아. 정말 힘드실거야. 그래도 경찰들이 있으니까 우리가 이렇게 행복하게 사는거야.,neutral
와! 짜장면에서 벌레나왔다.,disgust
그새끼는 할일없으면 집에나 갈 것이지 왜 나한테만 그러는거야.,angry
맞아. 미세먼지때문에 환기도 못시키는데 곰팡이때문에 지금 너무 스트레스받아.,angry
그것도 한 번 뿐이야. 곰팡이가 사라지지가 않는다니깐.,angry
곰팡이 제거제 써봤는데 소용이 없더라 소용이.,angry
쓰레기통에서 역겨운 냄새가 나고있어.,disgust
저번에 버렸던 음식물이 썩어서 냄새가 나고있어.,disgust
너무 무서워 나 어떡해. 살려줘.,fear
응. 진짜 기분 별로였어.,disgust
응. 응. 지금 당장 갖다 버려야겠어.,disgust
사진은 당연히 찍었지. 그래서 어떻게 말할지 고민중이야.,disgust
그게 좋겠지? 그럼 바로 전화해볼까?,disgust
화장실 청소를 해도 곰팡이가 사라지지가 않아.,angry
도와줘서 고마워. 정말 너밖에 없다.,disgust
사진은 찍어 놨지.	,disgust
좋은 생각인데 나는 말을 잘 못 해.	,disgust
그렇지. 그럼 어떻게 해야될까?,disgust
아 짜장면에서 벌레나왔다.,disgust
집에가고 있었는데 엘리베이터가 멈췄어.,fear
응. 밤이어서 나 혼자 갇혀있어.,fear
엄청 무섭지!,fear
다친데는 없는데 너무 무서워.,fear
나 엘리베이터에 갇혀있어.,fear
아니. 환기를 하는데 습기가 잘 안 빠진다고.,angry
몰라. 그냥 사고 난 거 같던데?,neutral
상사가 상사 다워야 상사지!,angry
쓰레기통에서 역겨운 냄새가 나고 있어.,disgust
아! 짜증 나! 그 새끼는 할 일 없으면 집에나 갈 것이지. 왜 나한테만 그러지?,angry
어. 나 구매할래.,angry
그거 좋은 생각인 거 같애.,angry
